State,Ages,n
India,All ages,1210854977
India,0-4,112806778
India,5-9,126928126
India,10-14,132709212
India,15-19,120526449
India,20-24,111424222
India,25-29,101413965
India,30-34,88594951
India,35-39,85140684
India,40-44,72438112
India,45-49,62318327
India,50-54,49069254
India,55-59,39146055
India,60-64,37663707
India,65-69,26454983
India,70-74,19208842
India,75-79,9232503
India,80+,11289005
India,Age not stated,4489802
State - JAMMU & KASHMIR (01),All ages,12541302
State - JAMMU & KASHMIR (01),0-4,1414884
State - JAMMU & KASHMIR (01),5-9,1411973
State - JAMMU & KASHMIR (01),10-14,1413853
State - JAMMU & KASHMIR (01),15-19,1237462
State - JAMMU & KASHMIR (01),20-24,1160913
State - JAMMU & KASHMIR (01),25-29,1086122
State - JAMMU & KASHMIR (01),30-34,926903
State - JAMMU & KASHMIR (01),35-39,837945
State - JAMMU & KASHMIR (01),40-44,714085
State - JAMMU & KASHMIR (01),45-49,590790
State - JAMMU & KASHMIR (01),50-54,468566
State - JAMMU & KASHMIR (01),55-59,340031
State - JAMMU & KASHMIR (01),60-64,322726
State - JAMMU & KASHMIR (01),65-69,203965
State - JAMMU & KASHMIR (01),70-74,184019
State - JAMMU & KASHMIR (01),75-79,85076
State - JAMMU & KASHMIR (01),80+,126870
State - JAMMU & KASHMIR (01),Age not stated,15119
State - HIMACHAL PRADESH (02),All ages,6864602
State - HIMACHAL PRADESH (02),0-4,544984
State - HIMACHAL PRADESH (02),5-9,591177
State - HIMACHAL PRADESH (02),10-14,639224
State - HIMACHAL PRADESH (02),15-19,640461
State - HIMACHAL PRADESH (02),20-24,643866
State - HIMACHAL PRADESH (02),25-29,589160
State - HIMACHAL PRADESH (02),30-34,546357
State - HIMACHAL PRADESH (02),35-39,517966
State - HIMACHAL PRADESH (02),40-44,445560
State - HIMACHAL PRADESH (02),45-49,395128
State - HIMACHAL PRADESH (02),50-54,330687
State - HIMACHAL PRADESH (02),55-59,266860
State - HIMACHAL PRADESH (02),60-64,231372
State - HIMACHAL PRADESH (02),65-69,158607
State - HIMACHAL PRADESH (02),70-74,130587
State - HIMACHAL PRADESH (02),75-79,75706
State - HIMACHAL PRADESH (02),80+,106737
State - HIMACHAL PRADESH (02),Age not stated,10163
State - PUNJAB (03),All ages,27743338
State - PUNJAB (03),0-4,2133529
State - PUNJAB (03),5-9,2368019
State - PUNJAB (03),10-14,2583402
State - PUNJAB (03),15-19,2817683
State - PUNJAB (03),20-24,2776636
State - PUNJAB (03),25-29,2463861
State - PUNJAB (03),30-34,2116539
State - PUNJAB (03),35-39,1989071
State - PUNJAB (03),40-44,1788469
State - PUNJAB (03),45-49,1587771
State - PUNJAB (03),50-54,1254464
State - PUNJAB (03),55-59,956555
State - PUNJAB (03),60-64,996590
State - PUNJAB (03),65-69,719588
State - PUNJAB (03),70-74,513472
State - PUNJAB (03),75-79,256666
State - PUNJAB (03),80+,379501
State - PUNJAB (03),Age not stated,41522
State - CHANDIGARH (04),All ages,1055450
State - CHANDIGARH (04),0-4,81854
State - CHANDIGARH (04),5-9,91194
State - CHANDIGARH (04),10-14,93464
State - CHANDIGARH (04),15-19,104418
State - CHANDIGARH (04),20-24,121244
State - CHANDIGARH (04),25-29,110237
State - CHANDIGARH (04),30-34,90803
State - CHANDIGARH (04),35-39,83672
State - CHANDIGARH (04),40-44,68921
State - CHANDIGARH (04),45-49,60352
State - CHANDIGARH (04),50-54,46942
State - CHANDIGARH (04),55-59,34925
State - CHANDIGARH (04),60-64,25801
State - CHANDIGARH (04),65-69,15839
State - CHANDIGARH (04),70-74,11385
State - CHANDIGARH (04),75-79,6422
State - CHANDIGARH (04),80+,7631
State - CHANDIGARH (04),Age not stated,346
State - UTTARAKHAND (05),All ages,10086292
State - UTTARAKHAND (05),0-4,924864
State - UTTARAKHAND (05),5-9,1058801
State - UTTARAKHAND (05),10-14,1145343
State - UTTARAKHAND (05),15-19,1124110
State - UTTARAKHAND (05),20-24,970068
State - UTTARAKHAND (05),25-29,810184
State - UTTARAKHAND (05),30-34,698300
State - UTTARAKHAND (05),35-39,665500
State - UTTARAKHAND (05),40-44,566709
State - UTTARAKHAND (05),45-49,489377
State - UTTARAKHAND (05),50-54,397158
State - UTTARAKHAND (05),55-59,318461
State - UTTARAKHAND (05),60-64,329056
State - UTTARAKHAND (05),65-69,218759
State - UTTARAKHAND (05),70-74,163443
State - UTTARAKHAND (05),75-79,84646
State - UTTARAKHAND (05),80+,104905
State - UTTARAKHAND (05),Age not stated,16608
State - HARYANA (06),All ages,25351462
State - HARYANA (06),0-4,2362519
State - HARYANA (06),5-9,2498757
State - HARYANA (06),10-14,2668678
State - HARYANA (06),15-19,2677390
State - HARYANA (06),20-24,2567486
State - HARYANA (06),25-29,2231959
State - HARYANA (06),30-34,1893591
State - HARYANA (06),35-39,1761863
State - HARYANA (06),40-44,1505950
State - HARYANA (06),45-49,1241814
State - HARYANA (06),50-54,965228
State - HARYANA (06),55-59,750938
State - HARYANA (06),60-64,844349
State - HARYANA (06),65-69,504439
State - HARYANA (06),70-74,374161
State - HARYANA (06),75-79,196217
State - HARYANA (06),80+,274589
State - HARYANA (06),Age not stated,31534
State - NCT OF DELHI (07),All ages,16787941
State - NCT OF DELHI (07),0-4,1381200
State - NCT OF DELHI (07),5-9,1535972
State - NCT OF DELHI (07),10-14,1648147
State - NCT OF DELHI (07),15-19,1667375
State - NCT OF DELHI (07),20-24,1764060
State - NCT OF DELHI (07),25-29,1668326
State - NCT OF DELHI (07),30-34,1434699
State - NCT OF DELHI (07),35-39,1319244
State - NCT OF DELHI (07),40-44,1097197
State - NCT OF DELHI (07),45-49,911213
State - NCT OF DELHI (07),50-54,687469
State - NCT OF DELHI (07),55-59,508892
State - NCT OF DELHI (07),60-64,472019
State - NCT OF DELHI (07),65-69,272452
State - NCT OF DELHI (07),70-74,189250
State - NCT OF DELHI (07),75-79,100693
State - NCT OF DELHI (07),80+,113031
State - NCT OF DELHI (07),Age not stated,16702
State - RAJASTHAN (08),All ages,68548437
State - RAJASTHAN (08),0-4,7302170
State - RAJASTHAN (08),5-9,8042738
State - RAJASTHAN (08),10-14,8380518
State - RAJASTHAN (08),15-19,7314017
State - RAJASTHAN (08),20-24,6426494
State - RAJASTHAN (08),25-29,5348497
State - RAJASTHAN (08),30-34,4722683
State - RAJASTHAN (08),35-39,4334564
State - RAJASTHAN (08),40-44,3735355
State - RAJASTHAN (08),45-49,3145404
State - RAJASTHAN (08),50-54,2516808
State - RAJASTHAN (08),55-59,1897449
State - RAJASTHAN (08),60-64,1770139
State - RAJASTHAN (08),65-69,1260376
State - RAJASTHAN (08),70-74,1016915
State - RAJASTHAN (08),75-79,477655
State - RAJASTHAN (08),80+,587053
State - RAJASTHAN (08),Age not stated,269602
State - UTTAR PRADESH (09),All ages,199812341
State - UTTAR PRADESH (09),0-4,20376668
State - UTTAR PRADESH (09),5-9,25061717
State - UTTAR PRADESH (09),10-14,25869881
State - UTTAR PRADESH (09),15-19,23040380
State - UTTAR PRADESH (09),20-24,17578648
State - UTTAR PRADESH (09),25-29,14579829
State - UTTAR PRADESH (09),30-34,12954682
State - UTTAR PRADESH (09),35-39,12556222
State - UTTAR PRADESH (09),40-44,10231402
State - UTTAR PRADESH (09),45-49,8449777
State - UTTAR PRADESH (09),50-54,6587023
State - UTTAR PRADESH (09),55-59,5464146
State - UTTAR PRADESH (09),60-64,5705191
State - UTTAR PRADESH (09),65-69,3839969
State - UTTAR PRADESH (09),70-74,2832368
State - UTTAR PRADESH (09),75-79,1249892
State - UTTAR PRADESH (09),80+,1812484
State - UTTAR PRADESH (09),Age not stated,1622062
State - BIHAR (10),All ages,104099452
State - BIHAR (10),0-4,12765029
State - BIHAR (10),5-9,15036277
State - BIHAR (10),10-14,13919882
State - BIHAR (10),15-19,9472695
State - BIHAR (10),20-24,8064735
State - BIHAR (10),25-29,7671705
State - BIHAR (10),30-34,7055737
State - BIHAR (10),35-39,6457261
State - BIHAR (10),40-44,5165692
State - BIHAR (10),45-49,4270374
State - BIHAR (10),50-54,3312740
State - BIHAR (10),55-59,2796678
State - BIHAR (10),60-64,3008008
State - BIHAR (10),65-69,2089779
State - BIHAR (10),70-74,1379531
State - BIHAR (10),75-79,550479
State - BIHAR (10),80+,679348
State - BIHAR (10),Age not stated,403502
State - SIKKIM (11),All ages,610577
State - SIKKIM (11),0-4,42336
State - SIKKIM (11),5-9,56678
State - SIKKIM (11),10-14,66923
State - SIKKIM (11),15-19,66937
State - SIKKIM (11),20-24,67297
State - SIKKIM (11),25-29,64639
State - SIKKIM (11),30-34,52225
State - SIKKIM (11),35-39,43627
State - SIKKIM (11),40-44,36552
State - SIKKIM (11),45-49,29462
State - SIKKIM (11),50-54,24432
State - SIKKIM (11),55-59,17541
State - SIKKIM (11),60-64,13550
State - SIKKIM (11),65-69,10483
State - SIKKIM (11),70-74,7561
State - SIKKIM (11),75-79,4516
State - SIKKIM (11),80+,4642
State - SIKKIM (11),Age not stated,1176
State - ARUNACHAL PRADESH (12),All ages,1383727
State - ARUNACHAL PRADESH (12),0-4,142879
State - ARUNACHAL PRADESH (12),5-9,171123
State - ARUNACHAL PRADESH (12),10-14,179359
State - ARUNACHAL PRADESH (12),15-19,155968
State - ARUNACHAL PRADESH (12),20-24,131696
State - ARUNACHAL PRADESH (12),25-29,123714
State - ARUNACHAL PRADESH (12),30-34,101171
State - ARUNACHAL PRADESH (12),35-39,94391
State - ARUNACHAL PRADESH (12),40-44,78603
State - ARUNACHAL PRADESH (12),45-49,63679
State - ARUNACHAL PRADESH (12),50-54,46110
State - ARUNACHAL PRADESH (12),55-59,29886
State - ARUNACHAL PRADESH (12),60-64,25445
State - ARUNACHAL PRADESH (12),65-69,14973
State - ARUNACHAL PRADESH (12),70-74,10647
State - ARUNACHAL PRADESH (12),75-79,5135
State - ARUNACHAL PRADESH (12),80+,7439
State - ARUNACHAL PRADESH (12),Age not stated,1509
State - NAGALAND (13),All ages,1978502
State - NAGALAND (13),0-4,197262
State - NAGALAND (13),5-9,233099
State - NAGALAND (13),10-14,248671
State - NAGALAND (13),15-19,229622
State - NAGALAND (13),20-24,204363
State - NAGALAND (13),25-29,176901
State - NAGALAND (13),30-34,149924
State - NAGALAND (13),35-39,128198
State - NAGALAND (13),40-44,109261
State - NAGALAND (13),45-49,87747
State - NAGALAND (13),50-54,65859
State - NAGALAND (13),55-59,43398
State - NAGALAND (13),60-64,36519
State - NAGALAND (13),65-69,24243
State - NAGALAND (13),70-74,17593
State - NAGALAND (13),75-79,10565
State - NAGALAND (13),80+,13806
State - NAGALAND (13),Age not stated,1471
State - MANIPUR (14),All ages,2855794
State - MANIPUR (14),0-4,256682
State - MANIPUR (14),5-9,291243
State - MANIPUR (14),10-14,313763
State - MANIPUR (14),15-19,287008
State - MANIPUR (14),20-24,281782
State - MANIPUR (14),25-29,270477
State - MANIPUR (14),30-34,220954
State - MANIPUR (14),35-39,198453
State - MANIPUR (14),40-44,170829
State - MANIPUR (14),45-49,147030
State - MANIPUR (14),50-54,120277
State - MANIPUR (14),55-59,89499
State - MANIPUR (14),60-64,71897
State - MANIPUR (14),65-69,46648
State - MANIPUR (14),70-74,34253
State - MANIPUR (14),75-79,21428
State - MANIPUR (14),80+,25794
State - MANIPUR (14),Age not stated,7777
State - MIZORAM (15),All ages,1097206
State - MIZORAM (15),0-4,121233
State - MIZORAM (15),5-9,117788
State - MIZORAM (15),10-14,116981
State - MIZORAM (15),15-19,110343
State - MIZORAM (15),20-24,111708
State - MIZORAM (15),25-29,102346
State - MIZORAM (15),30-34,88374
State - MIZORAM (15),35-39,72384
State - MIZORAM (15),40-44,58180
State - MIZORAM (15),45-49,53175
State - MIZORAM (15),50-54,44256
State - MIZORAM (15),55-59,31177
State - MIZORAM (15),60-64,24480
State - MIZORAM (15),65-69,16170
State - MIZORAM (15),70-74,12020
State - MIZORAM (15),75-79,7784
State - MIZORAM (15),80+,8174
State - MIZORAM (15),Age not stated,633
State - TRIPURA (16),All ages,3673917
State - TRIPURA (16),0-4,322566
State - TRIPURA (16),5-9,337735
State - TRIPURA (16),10-14,357690
State - TRIPURA (16),15-19,357829
State - TRIPURA (16),20-24,373177
State - TRIPURA (16),25-29,344149
State - TRIPURA (16),30-34,286989
State - TRIPURA (16),35-39,279342
State - TRIPURA (16),40-44,238751
State - TRIPURA (16),45-49,205469
State - TRIPURA (16),50-54,162186
State - TRIPURA (16),55-59,116874
State - TRIPURA (16),60-64,97129
State - TRIPURA (16),65-69,70480
State - TRIPURA (16),70-74,52324
State - TRIPURA (16),75-79,30086
State - TRIPURA (16),80+,39525
State - TRIPURA (16),Age not stated,1616
State - MEGHALAYA (17),All ages,2966889
State - MEGHALAYA (17),0-4,406154
State - MEGHALAYA (17),5-9,389182
State - MEGHALAYA (17),10-14,382606
State - MEGHALAYA (17),15-19,326188
State - MEGHALAYA (17),20-24,285012
State - MEGHALAYA (17),25-29,251281
State - MEGHALAYA (17),30-34,189657
State - MEGHALAYA (17),35-39,174706
State - MEGHALAYA (17),40-44,145450
State - MEGHALAYA (17),45-49,123115
State - MEGHALAYA (17),50-54,88743
State - MEGHALAYA (17),55-59,60109
State - MEGHALAYA (17),60-64,50708
State - MEGHALAYA (17),65-69,35774
State - MEGHALAYA (17),70-74,23698
State - MEGHALAYA (17),75-79,12845
State - MEGHALAYA (17),80+,15877
State - MEGHALAYA (17),Age not stated,5784
State - ASSAM (18),All ages,31205576
State - ASSAM (18),0-4,3212833
State - ASSAM (18),5-9,3544339
State - ASSAM (18),10-14,3491727
State - ASSAM (18),15-19,3068581
State - ASSAM (18),20-24,2909405
State - ASSAM (18),25-29,2815147
State - ASSAM (18),30-34,2330060
State - ASSAM (18),35-39,2260473
State - ASSAM (18),40-44,1831206
State - ASSAM (18),45-49,1595249
State - ASSAM (18),50-54,1192363
State - ASSAM (18),55-59,856825
State - ASSAM (18),60-64,775698
State - ASSAM (18),65-69,503642
State - ASSAM (18),70-74,385277
State - ASSAM (18),75-79,184352
State - ASSAM (18),80+,229575
State - ASSAM (18),Age not stated,18824
State - WEST BENGAL (19),All ages,91276115
State - WEST BENGAL (19),0-4,7333143
State - WEST BENGAL (19),5-9,8247809
State - WEST BENGAL (19),10-14,9156523
State - WEST BENGAL (19),15-19,9058031
State - WEST BENGAL (19),20-24,8758322
State - WEST BENGAL (19),25-29,7997909
State - WEST BENGAL (19),30-34,6841590
State - WEST BENGAL (19),35-39,7012646
State - WEST BENGAL (19),40-44,6153060
State - WEST BENGAL (19),45-49,5335719
State - WEST BENGAL (19),50-54,4257880
State - WEST BENGAL (19),55-59,3268650
State - WEST BENGAL (19),60-64,2745454
State - WEST BENGAL (19),65-69,1982993
State - WEST BENGAL (19),70-74,1390607
State - WEST BENGAL (19),75-79,739767
State - WEST BENGAL (19),80+,883561
State - WEST BENGAL (19),Age not stated,112451
State - JHARKHAND (20),All ages,32988134
State - JHARKHAND (20),0-4,3648297
State - JHARKHAND (20),5-9,4138425
State - JHARKHAND (20),10-14,4104396
State - JHARKHAND (20),15-19,3205268
State - JHARKHAND (20),20-24,2827622
State - JHARKHAND (20),25-29,2652639
State - JHARKHAND (20),30-34,2307296
State - JHARKHAND (20),35-39,2136764
State - JHARKHAND (20),40-44,1788506
State - JHARKHAND (20),45-49,1534094
State - JHARKHAND (20),50-54,1186181
State - JHARKHAND (20),55-59,985234
State - JHARKHAND (20),60-64,957482
State - JHARKHAND (20),65-69,635397
State - JHARKHAND (20),70-74,407108
State - JHARKHAND (20),75-79,167954
State - JHARKHAND (20),80+,188737
State - JHARKHAND (20),Age not stated,116734
State - ODISHA (21),All ages,41974218
State - ODISHA (21),0-4,3653029
State - ODISHA (21),5-9,4074768
State - ODISHA (21),10-14,4348625
State - ODISHA (21),15-19,3925398
State - ODISHA (21),20-24,3783527
State - ODISHA (21),25-29,3574037
State - ODISHA (21),30-34,3102991
State - ODISHA (21),35-39,3051188
State - ODISHA (21),40-44,2691474
State - ODISHA (21),45-49,2334030
State - ODISHA (21),50-54,1847812
State - ODISHA (21),55-59,1483720
State - ODISHA (21),60-64,1474061
State - ODISHA (21),65-69,979525
State - ODISHA (21),70-74,768070
State - ODISHA (21),75-79,364800
State - ODISHA (21),80+,397992
State - ODISHA (21),Age not stated,119171
State - CHHATTISGARH (22),All ages,25545198
State - CHHATTISGARH (22),0-4,2541065
State - CHHATTISGARH (22),5-9,2758758
State - CHHATTISGARH (22),10-14,2884013
State - CHHATTISGARH (22),15-19,2599842
State - CHHATTISGARH (22),20-24,2389497
State - CHHATTISGARH (22),25-29,2057300
State - CHHATTISGARH (22),30-34,1815058
State - CHHATTISGARH (22),35-39,1779414
State - CHHATTISGARH (22),40-44,1576553
State - CHHATTISGARH (22),45-49,1334374
State - CHHATTISGARH (22),50-54,992947
State - CHHATTISGARH (22),55-59,789353
State - CHHATTISGARH (22),60-64,743742
State - CHHATTISGARH (22),65-69,533810
State - CHHATTISGARH (22),70-74,373000
State - CHHATTISGARH (22),75-79,166578
State - CHHATTISGARH (22),80+,186779
State - CHHATTISGARH (22),Age not stated,23115
State - MADHYA PRADESH (23),All ages,72626809
State - MADHYA PRADESH (23),0-4,7471286
State - MADHYA PRADESH (23),5-9,8266455
State - MADHYA PRADESH (23),10-14,8564501
State - MADHYA PRADESH (23),15-19,7446789
State - MADHYA PRADESH (23),20-24,6727579
State - MADHYA PRADESH (23),25-29,5787506
State - MADHYA PRADESH (23),30-34,5214960
State - MADHYA PRADESH (23),35-39,4861671
State - MADHYA PRADESH (23),40-44,4214474
State - MADHYA PRADESH (23),45-49,3522961
State - MADHYA PRADESH (23),50-54,2694372
State - MADHYA PRADESH (23),55-59,2058077
State - MADHYA PRADESH (23),60-64,1987410
State - MADHYA PRADESH (23),65-69,1427061
State - MADHYA PRADESH (23),70-74,1107421
State - MADHYA PRADESH (23),75-79,523355
State - MADHYA PRADESH (23),80+,668069
State - MADHYA PRADESH (23),Age not stated,82862
State - GUJARAT (24),All ages,60439692
State - GUJARAT (24),0-4,5460332
State - GUJARAT (24),5-9,5835836
State - GUJARAT (24),10-14,6149445
State - GUJARAT (24),15-19,5865760
State - GUJARAT (24),20-24,5780722
State - GUJARAT (24),25-29,5278822
State - GUJARAT (24),30-34,4770528
State - GUJARAT (24),35-39,4341225
State - GUJARAT (24),40-44,3865476
State - GUJARAT (24),45-49,3314013
State - GUJARAT (24),50-54,2697183
State - GUJARAT (24),55-59,2054947
State - GUJARAT (24),60-64,1727752
State - GUJARAT (24),65-69,1170072
State - GUJARAT (24),70-74,899677
State - GUJARAT (24),75-79,439996
State - GUJARAT (24),80+,549062
State - GUJARAT (24),Age not stated,238844
State - DAMAN & DIU (25),All ages,243247
State - DAMAN & DIU (25),0-4,19158
State - DAMAN & DIU (25),5-9,18506
State - DAMAN & DIU (25),10-14,17321
State - DAMAN & DIU (25),15-19,26314
State - DAMAN & DIU (25),20-24,38584
State - DAMAN & DIU (25),25-29,33181
State - DAMAN & DIU (25),30-34,24031
State - DAMAN & DIU (25),35-39,19550
State - DAMAN & DIU (25),40-44,13601
State - DAMAN & DIU (25),45-49,9618
State - DAMAN & DIU (25),50-54,6610
State - DAMAN & DIU (25),55-59,5056
State - DAMAN & DIU (25),60-64,4308
State - DAMAN & DIU (25),65-69,2753
State - DAMAN & DIU (25),70-74,2103
State - DAMAN & DIU (25),75-79,1067
State - DAMAN & DIU (25),80+,1130
State - DAMAN & DIU (25),Age not stated,356
State - DADRA & NAGAR HAVELI (26),All ages,343709
State - DADRA & NAGAR HAVELI (26),0-4,36561
State - DADRA & NAGAR HAVELI (26),5-9,36249
State - DADRA & NAGAR HAVELI (26),10-14,35003
State - DADRA & NAGAR HAVELI (26),15-19,33104
State - DADRA & NAGAR HAVELI (26),20-24,44301
State - DADRA & NAGAR HAVELI (26),25-29,39885
State - DADRA & NAGAR HAVELI (26),30-34,30641
State - DADRA & NAGAR HAVELI (26),35-39,25277
State - DADRA & NAGAR HAVELI (26),40-44,18181
State - DADRA & NAGAR HAVELI (26),45-49,13789
State - DADRA & NAGAR HAVELI (26),50-54,9503
State - DADRA & NAGAR HAVELI (26),55-59,6951
State - DADRA & NAGAR HAVELI (26),60-64,5831
State - DADRA & NAGAR HAVELI (26),65-69,3716
State - DADRA & NAGAR HAVELI (26),70-74,2309
State - DADRA & NAGAR HAVELI (26),75-79,958
State - DADRA & NAGAR HAVELI (26),80+,1078
State - DADRA & NAGAR HAVELI (26),Age not stated,372
State - MAHARASHTRA (27),All ages,112374333
State - MAHARASHTRA (27),0-4,9362026
State - MAHARASHTRA (27),5-9,9820654
State - MAHARASHTRA (27),10-14,10734535
State - MAHARASHTRA (27),15-19,10627267
State - MAHARASHTRA (27),20-24,11090966
State - MAHARASHTRA (27),25-29,10147113
State - MAHARASHTRA (27),30-34,8796307
State - MAHARASHTRA (27),35-39,8247160
State - MAHARASHTRA (27),40-44,7196089
State - MAHARASHTRA (27),45-49,6032454
State - MAHARASHTRA (27),50-54,4919317
State - MAHARASHTRA (27),55-59,3885814
State - MAHARASHTRA (27),60-64,3642480
State - MAHARASHTRA (27),65-69,3078352
State - MAHARASHTRA (27),70-74,2143136
State - MAHARASHTRA (27),75-79,1062773
State - MAHARASHTRA (27),80+,1180194
State - MAHARASHTRA (27),Age not stated,407696
State - ANDHRA PRADESH (28),All ages,84580777
State - ANDHRA PRADESH (28),0-4,6284765
State - ANDHRA PRADESH (28),5-9,7304432
State - ANDHRA PRADESH (28),10-14,8201595
State - ANDHRA PRADESH (28),15-19,8093747
State - ANDHRA PRADESH (28),20-24,8132094
State - ANDHRA PRADESH (28),25-29,7799036
State - ANDHRA PRADESH (28),30-34,6584371
State - ANDHRA PRADESH (28),35-39,6507339
State - ANDHRA PRADESH (28),40-44,5399473
State - ANDHRA PRADESH (28),45-49,4657269
State - ANDHRA PRADESH (28),50-54,3657386
State - ANDHRA PRADESH (28),55-59,2909598
State - ANDHRA PRADESH (28),60-64,3199837
State - ANDHRA PRADESH (28),65-69,2167854
State - ANDHRA PRADESH (28),70-74,1519358
State - ANDHRA PRADESH (28),75-79,636989
State - ANDHRA PRADESH (28),80+,754203
State - ANDHRA PRADESH (28),Age not stated,771431
State - KARNATAKA (29),All ages,61095297
State - KARNATAKA (29),0-4,5046719
State - KARNATAKA (29),5-9,5241509
State - KARNATAKA (29),10-14,5736646
State - KARNATAKA (29),15-19,5827277
State - KARNATAKA (29),20-24,6052558
State - KARNATAKA (29),25-29,5771606
State - KARNATAKA (29),30-34,4698380
State - KARNATAKA (29),35-39,4695451
State - KARNATAKA (29),40-44,3826712
State - KARNATAKA (29),45-49,3519782
State - KARNATAKA (29),50-54,2699270
State - KARNATAKA (29),55-59,2142504
State - KARNATAKA (29),60-64,2060052
State - KARNATAKA (29),65-69,1520119
State - KARNATAKA (29),70-74,1061125
State - KARNATAKA (29),75-79,524426
State - KARNATAKA (29),80+,625310
State - KARNATAKA (29),Age not stated,45851
State - GOA (30),All ages,1458545
State - GOA (30),0-4,101203
State - GOA (30),5-9,105968
State - GOA (30),10-14,110989
State - GOA (30),15-19,113875
State - GOA (30),20-24,130745
State - GOA (30),25-29,132626
State - GOA (30),30-34,125859
State - GOA (30),35-39,126298
State - GOA (30),40-44,108512
State - GOA (30),45-49,94736
State - GOA (30),50-54,76592
State - GOA (30),55-59,65553
State - GOA (30),60-64,61104
State - GOA (30),65-69,41019
State - GOA (30),70-74,29055
State - GOA (30),75-79,16536
State - GOA (30),80+,15781
State - GOA (30),Age not stated,2094
State - LAKSHADWEEP (31),All ages,64473
State - LAKSHADWEEP (31),0-4,5052
State - LAKSHADWEEP (31),5-9,5407
State - LAKSHADWEEP (31),10-14,5998
State - LAKSHADWEEP (31),15-19,5624
State - LAKSHADWEEP (31),20-24,5829
State - LAKSHADWEEP (31),25-29,5967
State - LAKSHADWEEP (31),30-34,5437
State - LAKSHADWEEP (31),35-39,5389
State - LAKSHADWEEP (31),40-44,4608
State - LAKSHADWEEP (31),45-49,3810
State - LAKSHADWEEP (31),50-54,3066
State - LAKSHADWEEP (31),55-59,2901
State - LAKSHADWEEP (31),60-64,2034
State - LAKSHADWEEP (31),65-69,1413
State - LAKSHADWEEP (31),70-74,849
State - LAKSHADWEEP (31),75-79,493
State - LAKSHADWEEP (31),80+,481
State - LAKSHADWEEP (31),Age not stated,115
State - KERALA (32),All ages,33406061
State - KERALA (32),0-4,2453092
State - KERALA (32),5-9,2555112
State - KERALA (32),10-14,2822770
State - KERALA (32),15-19,2610552
State - KERALA (32),20-24,2665809
State - KERALA (32),25-29,2604092
State - KERALA (32),30-34,2455501
State - KERALA (32),35-39,2579673
State - KERALA (32),40-44,2412498
State - KERALA (32),45-49,2348530
State - KERALA (32),50-54,1928145
State - KERALA (32),55-59,1742408
State - KERALA (32),60-64,1414671
State - KERALA (32),65-69,1002134
State - KERALA (32),70-74,733372
State - KERALA (32),75-79,501367
State - KERALA (32),80+,541849
State - KERALA (32),Age not stated,34486
State - TAMIL NADU (33),All ages,72147030
State - TAMIL NADU (33),0-4,5278701
State - TAMIL NADU (33),5-9,5551255
State - TAMIL NADU (33),10-14,6177547
State - TAMIL NADU (33),15-19,6253792
State - TAMIL NADU (33),20-24,6411543
State - TAMIL NADU (33),25-29,6663746
State - TAMIL NADU (33),30-34,5815560
State - TAMIL NADU (33),35-39,5836456
State - TAMIL NADU (33),40-44,5064209
State - TAMIL NADU (33),45-49,4713056
State - TAMIL NADU (33),50-54,3703460
State - TAMIL NADU (33),55-59,3101142
State - TAMIL NADU (33),60-64,2782608
State - TAMIL NADU (33),65-69,1868370
State - TAMIL NADU (33),70-74,1406529
State - TAMIL NADU (33),75-79,710241
State - TAMIL NADU (33),80+,742010
State - TAMIL NADU (33),Age not stated,66805
State - PUDUCHERRY (34),All ages,1247953
State - PUDUCHERRY (34),0-4,93949
State - PUDUCHERRY (34),5-9,98717
State - PUDUCHERRY (34),10-14,105726
State - PUDUCHERRY (34),15-19,102316
State - PUDUCHERRY (34),20-24,108819
State - PUDUCHERRY (34),25-29,118244
State - PUDUCHERRY (34),30-34,111070
State - PUDUCHERRY (34),35-39,107459
State - PUDUCHERRY (34),40-44,89779
State - PUDUCHERRY (34),45-49,79305
State - PUDUCHERRY (34),50-54,60923
State - PUDUCHERRY (34),55-59,50109
State - PUDUCHERRY (34),60-64,43828
State - PUDUCHERRY (34),65-69,27983
State - PUDUCHERRY (34),70-74,22521
State - PUDUCHERRY (34),75-79,12789
State - PUDUCHERRY (34),80+,13315
State - PUDUCHERRY (34),Age not stated,1101
State - ANDAMAN & NICOBAR ISLANDS (35),All ages,380581
State - ANDAMAN & NICOBAR ISLANDS (35),0-4,28754
State - ANDAMAN & NICOBAR ISLANDS (35),5-9,30454
State - ANDAMAN & NICOBAR ISLANDS (35),10-14,33467
State - ANDAMAN & NICOBAR ISLANDS (35),15-19,33026
State - ANDAMAN & NICOBAR ISLANDS (35),20-24,37115
State - ANDAMAN & NICOBAR ISLANDS (35),25-29,41722
State - ANDAMAN & NICOBAR ISLANDS (35),30-34,35723
State - ANDAMAN & NICOBAR ISLANDS (35),35-39,32842
State - ANDAMAN & NICOBAR ISLANDS (35),40-44,26735
State - ANDAMAN & NICOBAR ISLANDS (35),45-49,23861
State - ANDAMAN & NICOBAR ISLANDS (35),50-54,17296
State - ANDAMAN & NICOBAR ISLANDS (35),55-59,13794
State - ANDAMAN & NICOBAR ISLANDS (35),60-64,10376
State - ANDAMAN & NICOBAR ISLANDS (35),65-69,6226
State - ANDAMAN & NICOBAR ISLANDS (35),70-74,4098
State - ANDAMAN & NICOBAR ISLANDS (35),75-79,2251
State - ANDAMAN & NICOBAR ISLANDS (35),80+,2473
State - ANDAMAN & NICOBAR ISLANDS (35),Age not stated,368
